project_ID,NBS_group,NBS_activity,NBS_group2,NBS_activity2,methodology,registry,LU,area,directArea,credit_length,totalERs,coords,mulitpleLocations,LUCdate,previousLU,KML,costs_deploy,costs_deploy_detail,costs_manage,costs_manage_detail,costs_monitor,costs_monitor_detail,LAT,LON,description,notes,project_name,project_proponent,validator,validation_date,verfier1,verification_date1,country,sectoral_scope,estimated_annual_emission_reductions,active_CCB_status,CCB_yes,reference,shell_review,shell_review_date,shell_review_person,shell_decision,shell_reason,shell_volume_date,shell_volume_purchase,shell_volume_retired
VCS845,Agriculture,RestAgriculture_Enteric-Fermentation,Agriculture,Waste,AMS-III.D.,APX,FARM,NA,NA,7,326746.00,"-22.809010, -47.578625",1,NA,NA,NA,,,,,,,-22.809010, -47.578625,"The purpose of this project is to mitigate and recover animal effluent related Greenhouse Gas (GHG) by improving the Animal Waste Management System practices in the confined animal feed operations in the cities located at the S„o Paulo state, southwest Brazil.",Reduced CH4 from manure,"BRASCARBON Methane Recovery Project BCA-BRA-08, Brazil",Brascarbon Cosultoria Projetos e Represetacao SA,,,,,Brazil,15. Livestock and manure management,46678,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/9982,0,,,,,,,
VCS846,Agriculture,RestAgriculture_Enteric-Fermentation,Agriculture,Waste,AMS-III.D.,APX,FARM,NA,NA,7,367577.00,"-19.411266, -54.700147",1,NA,NA,NA,,,,,,,-19.411266, -54.700147,The purpose of this project is to mitigate and recover animal effluent related Greenhouse Gas (GHG) by improving the Animal Waste Management System practices in the confined animal feed operations in S„o Gabriel do Oeste located at the Mato Grosso do Sul state Brazil.,Reduced CH4 from manure,"BRASCARBON Methane Recovery Project BCA-BRA-05, Brazil",Brascarbon Cosultoria Projetos e Represetacao SA,,,,,Brazil,15. Livestock and manure management,52511,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/9985,0,,,,,,,
VCS847,Agriculture,RestAgriculture_Enteric-Fermentation,Agriculture,Waste,AMS-III.D.,APX,FARM,NA,NA,7,315119.00,"-20.107260, -54.421581",1,NA,NA,NA,,,,,,,-20.107260, -54.421581,"The purpose of this project is to mitigate and recover animal effluent related Greenhouse Gas (GHG) by improving the Animal Waste Management System practices in the confined animal feed operations in Mato Grosso and Mato Grosso do Sul states, Brazil.",Reduced CH4 from manure,"BRASCARBON Methane Recovery Project BCA-BRA-07, Brazil",Brascarbon Cosultoria Projetos e Represetacao SA,,,,,Brazil,15. Livestock and manure management,45017,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/9994,0,,,,,,,
VCS852,Forest,AvoiForest_REDD,Forest,REDD,VM0007,Markit,Hardwoods,6296.00,1,20,1636473.00,"17.785501, -88.786500",1,NA,NONE,1,,,,,,,17.785501, -88.786500,"The 6,296 hectare Avoided Planned Deforestation project, located in north-west Belize, reduces GHG emissions through the acquisition and protection of forest lands threatened by agricultural conversion.",Avoided deforestation,Rio Bravo Climate Action Project,Programme for Belize,DNV GL Climate Change Services,2011-12-01,DNV GL Climate Change Services,2011-12-02,Belize,"14. Agriculture, Forestry, Land Use",94970,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/10084,0,,,,,,,
VCS856,Forest,AvoiForest_REDD,Forest,REDD,VM0009,Markit,Palm,13465.00,1,31,2509065.00,"8.405559, -77.330833",0,NA,NONE,1,,,,,,,8.405559, -77.330833,"The project protects 13,465 hectares of tropical rainforest in the DariÈn region of northwest Colombia, to stop the spread of ranching into the project area, thereby protecting Afro-Colombian livelihoods as well as the forests on which they depend.",Avoided deforestation,The ChocÛ-DariÈn Conservation Corridor REDD Project,Anthrotect S.A.S.,,,,,Colombia,"14. Agriculture, Forestry, Land Use",96,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/11475,0,,,,,,,
VCS868,Forest,AvoiForest_REDD,Forest,REDD,VM0007,Markit,Hardwoods,291566.00,1,31,64668764.00,"-12.173285, -69.629551",0,NA,NONE,1,,,,,,,-12.173285, -69.629551,"The project is aimed at preventing deforestation and preserving environmental integrity on 300,000 hectares of concession land in high quality rainforest.",Avoided deforestation,"REDD project in Brazil nut concessions in Madre de Dios, Peru",Bosques Amaz√≥nicos,SCS Global Services,2012-06-13,SCS Global Services,2013-10-02,Peru,"14. Agriculture, Forestry, Land Use",2086089,Validation approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/10256,0,,,,,,,
VCS872,Forest,AvoiForest_REDD,Forest,REDD,VM0012,APX,Conifers,3326.50,1,30,1512849.00,"58.375754, -152.512855",1,NA,NONE,1,,,,,,,58.375754, -152.512855,The project changes the baseline scenario of logging to protect and maintain forest stands of 3326 ha on Afognak island in Alaska.,Avoided deforestation,Afognak Forest Carbon Project,Rocky Mountain Elk Foundation,,,,,United States,"14. Agriculture, Forestry, Land Use",40451,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/21688,0,,,,,,,
VCS875,Forest,AvoiForest_REDD,Forest,REDD,VM0007,Markit,Hardwoods,71714.00,1,30,29923331.00,"-9.159620, -59.366123",1,NA,NONE,1,,,,,,,-9.159620, -59.366123,The project aims to reduce deforestation of 71714 ha of forest.,Avoided deforestation,FLORESTAL SANTA MARIA PROJECT,Florestal Santa Maria S.A.,"Rainforest Alliance, Inc.",2012-05-04,"Rainforest Alliance, Inc.",2012-12-06,Brazil,"14. Agriculture, Forestry, Land Use",997444,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/10333,0,,,,,,,
VCS878,Agriculture,RestAgriculture_Enteric-Fermentation,Agriculture,Waste,AMS-III.D.,APX,FARM,NA,NA,7,316022.00,"-22.875403, -47.973022",1,NA,NA,NA,,,,,,,-22.875403, -47.973022,"The purpose of this project is to mitigate and recover animal effluent related Greenhouse Gas (GHG) by improving the Animal Waste Management System practices in the confined animal feed operations in the cities located at the S„o Paulo state, southwest Brazil.",Reduced CH4 from manure,"BRASCARBON Methane Recovery Project BCA-BRA-02, Brazil.",Brascarbon Cosultoria Projetos e Represetacao SA,,,,,Brazil,15. Livestock and manure management,45146,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/10341,0,,,,,,,
VCS886,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-ACM0001,Markit,Hardwoods,136.65,1,80,94905.33,"-43.700772, -71.753183",1,1965,Grazing,1,,,,,,,-43.700772, -71.753183,Reforestation of degraded land with native species,Reforest degraded land,"Reforestation of degraded lands in the Valle California of Patagonia, Chile",AgrÌcola y Forestal SNP Ltda,Environmental Services Inc,2012-06-18,,,Chile,"14. Agriculture, Forestry, Land Use",1193,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/15765,0,,,,,,,
VCS888,Agriculture,RestAgriculture_Enteric-Fermentation,Agriculture,Waste,AMS-III.D.,APX,FARM,NA,NA,10,107669.00,"34.762428, 33.215575",1,NA,NA,NA,,,,,,,34.762428, 33.215575,The anaerobic digestion of animal manure at Armenis Farm Ltd. (hereafter the ëprojectí) on Cyprus consist of treatment of manure of swine. The project claims CERs for destruction of methane.,Reduced CH4 from manure,"Anaerobic digestion at Armenis Farm Ltd., Cyprus",Armenis Farm Ltd.,,,,,Cyprus,15. Livestock and manure management,5956,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/10513,0,,,,,,,
VCS889,Agriculture,RestAgriculture_Enteric-Fermentation,Agriculture,Waste,AMS-III.D.,APX,FARM,NA,NA,7,304745.00,"-19.062465, -46.576867",1,NA,NA,NA,,,,,,,-19.062465, -46.576867,"The purpose of this project is to mitigate and recover animal effluent related Greenhouse Gas (GHG) by improving the Animal Waste Management System practices in the confined animal feed operations in some cities located at Minas Gerais state, southwest Brazil.",Reduced CH4 from manure,BRASCARBON Methane Recovery Project BCA-BRA-03.,"Brascarbon Cosultoria, Projetos e Represetacao Ltd",,,,,Brazil,15. Livestock and manure management,43535,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/10522,0,,,,,,,
VCS898,Agriculture,NovoAgriculture,Agriculture,APlanting,AR-ACM0002,Markit,Jatropha,21600.00,0,30,25878.00,"-13.517029, 33.789769",1,,Fallow,1,,,,,,,-13.517029, 33.789769,"The project is a re-vegetation activity aimed at utilising degraded and marginal land for the establishment of Jatropha Curcas hedgerows, mainly along fields and homesteads. ",Revegate degraded land,Fuelling a greener future for farmers in Malawi through the use of Jatropha curcas,Bio Energy Resources Limited (BERL),T‹V S‹D Industrie Service GmbH,2012-03-29,,,Malawi,"14. Agriculture, Forestry, Land Use",863,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/10626,0,,,,,,,
VCS899,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-AMS0001,APX,Hardwoods,7419.00,1,30,6998259.00,"0.120878, 37.125174",1,2004,Agriculture,1,,,,,,,0.120878, 37.125174,The International Small Group and Tree Planting Program (TIST) is a combined reforestation and sustainable development project in Kenya carried out by subsistence farmers.,TIST afforestation,"TIST Program in Kenya, VCS 006",Clean Air Action Corporation,Environmental Services Inc,2012-09-27,Environmental Services Inc,2012-09-27,Kenya,"14. Agriculture, Forestry, Land Use",233275,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/10630,1,,,Approved,,,,
VCS902,Forest,AvoiForest_REDD,Forest,REDD,VM0009,APX,Hardwoods,784987.00,1,30,196513929.00,"-17.246981, 28.013974",1,NA,NONE,1,,,,,,,-17.246981, 28.013974,"The Kariba REDD+ Project will generate approximately 196,500,000 carbon credits from reduced emissions associated with deforestation over 30 years.",Avoided deforestation,KARIBA REDD+ PROJECT,Carbon Green Investments (Guernsey),Environmental Services Inc,2012-09-29,Environmental Services Inc,2013-08-19,Zimbabwe,"14. Agriculture, Forestry, Land Use",6550464,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/21442,1,,,Approved,,,,
VCS904,Forest,AvoiForest_REDD,Forest,REDD,VM0006,Markit,Hardwoods,63831.00,1,30,6143767.00,"14.272118, 103.782004",1,NA,NONE,1,,,,,,,14.272118, 103.782004,"The Oddar Meanchey project is Cambodiaís first REDD project, supporting 13 Community Forestry Groups in reducing deforestation",Avoided deforestation,"Reduced Emissions from Deforestation and Degradation in Community Forests ‚Äì Oddar Meanchey, Cambodia",Royal Government of Cambodia-Forestry Admin,T‹V S‹D Industrie Service GmbH,2012-08-22,SCS Global Services,2013-08-29,Cambodia,"14. Agriculture, Forestry, Land Use",204792,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/10739,0,,,,,,,
VCS919,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-ACM0001,Markit,Hardwoods,89.40,1,32,29629.00,"32.095423, -91.837396",1,2009,Pasture,1,,,,,,,32.095423, -91.837396,"This grouped project aims to convert degraded land, including cropland, pasture and abandoned agricultural land, to bottomland forest.",Reforest degraded land,Lower Mississippi Valley Grouped Afforestation Project,The Nature Conservancy,Environmental Services Inc,2012-10-11,,,United States,"14. Agriculture, Forestry, Land Use",926,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/10895,0,,,,,,,
VCS920,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-ACM0001,Markit,Eucalyptus,4691.00,1,60,884732.00,"-34.596204, -55.737254",1,2009,Grazing,0,,,,,,,-34.596204, -55.737254,"The project plants forest plantations on a total of 4,691 ha of severely eroded/degraded land with a history of agriculture with intensive tillage or grazing by beef cattle. These plantations are part of a silvipastural system.",Forest plantation on ag land,IBERPAPEL SILVIPASTURAL SYSTEM ON DEGRADED LAND,Los Eucaliptus S.A.,,,,,Uruguay,"14. Agriculture, Forestry, Land Use",14746,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/10905,0,,,,,,,
VCS922,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0005,APX,Hardwoods,949.21,1,33,56379.00,"25.884744, 87.249128",1,2006,Fallow,1,,,,,,,25.884744, 87.249128,Converts a total of 949.21Ha of fallow land to 14-yr rotations of commercial plantation for timber production (and Jatropha for oil seed),Fallow to commercial plantation,Plantation Project on wastelands by Sun Plant Agro Limited,Sun Plant Agro Limited,"Rainforest Alliance, Inc.",2012-05-29,,,India,"14. Agriculture, Forestry, Land Use",1708,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/10919,0,,,,,,,
VCS934,Forest,AvoiForest_REDD,Forest,REDD,VM0009,Markit,Hardwoods,248956.40,0,31,175820011.00,"-1.937318, 18.026072",1,NA,NONE,1,,,,,,,-1.937318, 18.026072,"The Project will protect 248,956 hectares of forest from logging, fuel wood extraction and slash and burn agriculture.",Avoided deforestation,The Mai Ndombe REDD+ Project,Wildlife Works Carbon LLC,,,,,"Congo, the Democratic Republic of the","14. Agriculture, Forestry, Land Use",5671613,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/11060,1,,,Failed,,,,
VCS944,Forest,AvoiForest_REDD,Forest,REDD,VM0015,Markit,Hardwoods,182000.00,1,20,5151165.00,"-5.779459, -77.542668",0,NA,NONE,1,,,,,,,-5.779459, -77.542668,"The Alto Mayo Protected Forest (AMPF) covers approximately 182,000 hectares of land in the Peruvian Amazon and will prevent defforestation",Avoided deforestation,Alto Mayo Conservation Initiative,Conservation International Foundation,,,,,Peru,"14. Agriculture, Forestry, Land Use",515268,"Verified, under verification",1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/18332,1,,,HOLD,,,,
VCS953,Forest,AvoiForest_REDD,Forest,REDD,VM0007,Markit,Hardwoods,4745.00,1,20,198238.00,"-20.277163, -58.567078",0,NA,NONE,1,,,,,,,-20.277163, -58.567078,"The project consists of the purchase and protection of 4,745 ha of forested land with High Conservation Values in the eastern Chaco-Pantanal transition zone in Alto Paraguay, threatened in the absence of the project with transformation into cattle ranching.",Avoided deforestation,The Paraguay Forest Conservation Project - Reduction of GHG emissions from deforestation and forest degradation in the Chaco-Pantanal ecosystem,Swire Pacific Offshore Operations (Pte) Ltd. (SPO),"Rainforest Alliance, Inc.",2012-11-24,"Rainforest Alliance, Inc.",2013-03-13,Paraguay,"14. Agriculture, Forestry, Land Use",12784,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/19606,0,,,,,,,
VCS956,Agriculture,RestAgriculture_Enteric-Fermentation,Agriculture,Waste,AMS-III.D.,APX,FARM,NA,NA,10,122416.00,"35.011564, 33.316639",0,NA,NA,NA,,,,,,,35.011564, 33.316639,The anearobic digestion of animal manure at Animalia Genetics Ltd. (hereafter the ëprojectí) consist of treatment of manure of both swines and cows. The project claims CERs for destruction of methane.,Reduced CH4 from manure,"Anaerobic digestion at Animalia Genetics Ltd., Cyprus",Animalia Genetics Ltd.,,,,,Cyprus,15. Livestock and manure management,6390,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/20726,0,,,,,,,
VCS958,Forest,AvoiForest_REDD,Forest,REDD,VM0015,Markit,Hardwoods,295654.00,1,40,8788871.00,"-7.486224, -77.210835",0,NA,NONE,1,,,,,,,-7.486224, -77.210835,The project aims to avoid for 80 years deforestation and degradation of forest in an area of 295 654 hectares of primary forest,Avoided deforestation,BIOCORREDOR MARTIN SAGRADO REDD+ PROJECT,Pur Projet,SCS Global Services,2012-12-27,Ecocert S.A.,2016-05-13,Peru,"14. Agriculture, Forestry, Land Use",219722,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/11377,0,,,,,,,
VCS959,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-ACM0001,Markit,Eucalyptus,21298.00,1,60,7644973.00,"-33.121214, -54.651825",1,2006,Grazing,1,,,,,,,-33.121214, -54.651825,"The project will comprise a total of 21,298 ha of land previously under extensive grazing by beef cattle, on which forest plantations for obtaining high-value, long-lived timber products and for sequestering large amounts of carbon dioxide from the atmosphere will be established.",Commercial plantations on degraded land,‚ÄòGuanar√©‚Äô Forest Plantations on degraded grasslands under extensive grazing,Guanar√© SA,"Rainforest Alliance, Inc.",2012-04-30,"Rainforest Alliance, Inc.",2014-10-27,Uruguay,"14. Agriculture, Forestry, Land Use",127416,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/11381,1,,,HOLD,,,,
VCS960,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-ACM0001,Markit,Eucalyptus,18191.00,1,100,5601938.00,"-32.645134, -54.471940",1,2006,Grazing,1,,,,,,,-32.645134, -54.471940,"The project will comprise a total of 18,191 ha of land previously under extensive grazing by beef cattle, on which forest plantations for obtaining high-value, long-lived timber products and for sequestering large amounts of carbon dioxide from the atmosphere will be established.",Afforest grazed lands,‚ÄúWeyerhaeuser Uruguay‚Äù Forest Plantations on degraded grasslands under extensive grazing,EUCAPINE S.R.L,"Rainforest Alliance, Inc.",2013-01-04,"Rainforest Alliance, Inc.",2013-09-05,Uruguay,"14. Agriculture, Forestry, Land Use",56019,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/11392,0,,,,,,,
VCS961,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-ACM0001,Markit,Conifers,5377.00,1,100,1827052.00,"-32.785605, -54.326145",1,1700,Grazing,1,,,,,,,-32.785605, -54.326145,"The project establishes 5,377 ha of high-value, long-lived timber products through afforestation on land previously under extensive grazing for beef cattle.",Afforest grazed lands,‚ÄòEl Arriero ‚Äô Afforestation on degraded grasslands under extensive grazing project,El Arriero‚Äô S.A.,SCS Global Services,2013-01-14,SCS Global Services,2014-04-07,Uruguay,"14. Agriculture, Forestry, Land Use",18271,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/11406,0,,,,,,,
VCS962,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-ACM0001,APX,Pinus Taeda,16928.00,1,100,5596531.00,"-32.863190, -55.225551",1,2007,Grazing,1,,,,,,,-32.863190, -55.225551,"The project comprises a total of 16,928 ha of land previously under extensive grazing by beef cattle, on which forest plantations for obtaining high-value, long-lived timber products and for sequestering large amounts of carbon dioxide from the atmosphere will be established.",Afforest grazed lands,Forteko afforestation on degraded grasslands under extensive grazing,EF ASSET MANAGEMENT ADMINISTRADORA,SCS Global Services,2013-01-14,SCS Global Services,2014-04-07,Uruguay,"14. Agriculture, Forestry, Land Use",55965,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/11412,0,,,,,,,
VCS963,Forest,AvoiForest_REDD,Forest,REDD,VM0007,Markit,Hardwoods,34702.00,1,30,898679.00,"-8.976482, -69.460855",0,NA,NONE,1,,,,,,,-8.976482, -69.460855,"The Purus Project is a VCS and CCBS validated REDD+ project in the State of Acre, Brazil which aims to protect up to 34,702 hectares of tropical rainforest.",Avoided deforestation,The Purus Project,MULTIPLE PROJECT PROPONENTS,,,,,Brazil,"14. Agriculture, Forestry, Land Use",89868,"Verified, under verification",1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/11436,0,,,,,,,
VCS965,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-ACM0001,Markit,Eucalyptus,1544.00,1,100,545216.00,"-34.053070, -55.274475",1,2007,Grazing,1,,,,,,,-34.053070, -55.274475,"The project comprises a total of 1,544 ha of land previously under extensive grazing by beef cattle, on which afforestation for obtaining high-value, long-lived timber products and for sequestering large amounts of carbon dioxide from the atmosphere will be established.",Reforest pasture for commercial use,ITAA afforestation on degraded grasslands under extensive grazing,Intercontinental Timber Asociacion Agraria,SCS Global Services,2013-01-18,,,Uruguay,"14. Agriculture, Forestry, Land Use",5451,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/11450,0,,,,,,,
VCS977,Forest,AvoiForest_REDD,Forest,REDD,VM0015,APX,Hardwoods,177899.00,1,40,22130927.00,"-2.759211, -50.682773",1,NA,NONE,1,,,,,,,-2.759211, -50.682773,"REDD Project to stop deforestation within private parcels amounting to 177,899 Ha at the edge of the deforestation frontier in Brazil.",Avoided deforestation,RMDLT Portel-Para REDD Project,RMDLT Property Group Ltd,DNV GL Climate Change Services,2013-04-16,DNV GL Climate Change Services,2015-02-16,Brazil,"14. Agriculture, Forestry, Land Use",553273,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/21760,0,,,,,,,
VCS981,Forest,AvoiForest_REDD,Forest,REDD,VM0015,Markit,Hardwoods,135105.00,1,40,10564630.00,"-2.827524, -51.288528",1,NA,NONE,1,,,,,,,-2.827524, -51.288528,The Project is to prevent deforestation of forest in northeastern Brazil,Avoided deforestation,ADPML PORTEL-PARA REDD PROJECT,Avoided Deforestation Project (Manaus) Limited (‚ÄúA,DNV GL Climate Change Services,2013-02-15,DNV GL Climate Change Services,2014-11-10,Brazil,"14. Agriculture, Forestry, Land Use",264116,Validation approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/16735,0,,,,,,,
VCS985,Forest,AvoiForest_REDD,Forest,REDD,VM0007,Markit,Hardwoods,1351964.00,1,20,15752683.00,"-7.077178, -75.993106",0,NA,NONE,1,,,,,,,-7.077178, -75.993106,Project avoids deforestation in a magnificent expanse of lowland and montane forests in four departments in central Peru,Avoided deforestation,Cordillera Azul National Park REDD Project,CIMA-Cordillera Azul,,,,,Peru,"14. Agriculture, Forestry, Land Use",1575268,"Verified, under verification",1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/11747,1,,,Approved,,,,
VCS987,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-ACM0001,Markit,Hardwoods,3244.31,1,40,551338.00,"7.390518, -1.836828",0,1990,Grazing,1,,,,,,,7.390518, -1.836828,"The project expects to ultimately establish 20,000 ha of plantations of exotic and indigenous tree species and also help restore natural forest in riparian buffer zones. To date 3414 ha are realized.",Reforest degraded land,Reforestation of Degraded Forest Reserves in Ghana,FORM Ghana Ltd.,SCS Global Services,2013-01-17,SCS Global Services,2013-01-29,Ghana,"14. Agriculture, Forestry, Land Use",8815,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/31881,1,,,Approved,,,,
VCS993,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0001,APX,Hardwoods,722.60,1,30,580246.00,"-0.894103, 29.778479",1,,,1,,,,,,,-0.894103, 29.778479,"This TIST project is for a subset of the reforestation project in Uganda and applies to 301 of the Small Groups, 1,799 members, 953 project areas and 722.6 ha.",TIST afforestation,"TIST Program in Uganda, VCS 005",Clean Air Action Corporation,Environmental Services Inc,2013-03-07,Environmental Services Inc,2013-03-07,Uganda,"14. Agriculture, Forestry, Land Use",19342,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/28298,1,,,In Progress,,,,
VCS994,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0001,APX,Hardwoods,671.80,1,30,331410.00,"12.498950, 79.478685",1,,,1,,,,,,,12.498950, 79.478685,"This is a VCS grouped project, is a subset of the TIST reforestation project in India and applies to 452 Small Groups, 2,599 members, 924 project areas and 671.8 ha.",TIST afforestation,"TIST Program in India, VCS 001",Clean Air Action Corporation,,,,,India,"14. Agriculture, Forestry, Land Use",11047,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/26047,1,,,Approved,,,,
VCS995,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0001,APX,Hardwoods,283.10,1,30,233599.00,"-1.195558, 30.109876",1,,,1,,,,,,,-1.195558, 30.109876,"This TIST project is for a subset of the reforestation project in Uganda and applies to 17 of the Small Groups, 52 members, 20 project areas and 283.1 ha.",TIST afforestation,"TIST Program in Uganda, VCS 006",Clean Air Action Corporation,,,,,Uganda,"14. Agriculture, Forestry, Land Use",7787,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/28735,1,,,In Progress,,,,
VCS996,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-AMS0001,APX,Hardwoods,2724.00,1,30,2644904.00,"0.037988, 37.821859",1,,Grazing,1,,,,,,,0.037988, 37.821859,The project is aimed to plant hardwoods on land used for grazing and for farming to generate carbon credits.,TIST afforestation,"TIST Program in Kenya, VCS 009",Clean Air Action Corporation,Environmental Services Inc,2013-03-06,Environmental Services Inc,2013-03-07,Kenya,"14. Agriculture, Forestry, Land Use",88163,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/11869,1,,,Approved,,,,
VCS1015,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0005,APX,Hardwoods,222.00,1,30,169554.44,"26.649113, 81.340066",1,,Fallow,1,,,,,,,26.649113, 81.340066,"The project has assisted farmers, especially women, to promote plantation on wastelands and marginally productive lands by organizing primary farm forestry co-operatives. ",Community farms to plant on marginal land,"Community-based reforestation project on degraded lands in Uttar Pradesh, India by Indian Farm Forestry Development Co-operative Limited",Indian Farm Forestry Development Co-operative LTD,"Rainforest Alliance, Inc.",2013-03-20,,,India,"14. Agriculture, Forestry, Land Use",5651,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/12024,0,,,,,,,
VCS1047,Forest,AvoiForest_REDD,Forest,REDD,VM0015,Markit,Hardwoods,285800.00,0,10,2209652.00,"-22.213562, 47.199581",1,NA,NONE,1,,,,,,,-22.213562, 47.199581,"The Government of Madagascar, in collaboration with Conservation International (CI), developed the COFAV project to reduce deforestation",Avoided deforestation,"Carbon Emissions Reduction Project in the Forest Corridor Ambositra-Vondrozo (COFAV), Madagascar","Govt. of Madagascar, Direction Generale des Forets",SCS Global Services,2013-10-07,SCS Global Services,2013-10-07,Madagascar,"14. Agriculture, Forestry, Land Use",220965,Validation approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/15355,0,,,,,,,
VCS1052,Forest,AvoiForest_REDD,Forest,REDD,VM0011,APX,Hardwoods,92530.00,1,30,7869000.00,"0.835442, 16.164396",0,NA,NONE,1,,,,,,,0.835442, 16.164396,"The North Pikounda REDD+ Project (the Project) is a reducing emission from deforestation and degradation plus conservation and sustainable forestry (REDD+) project designed to protect 92,530 hectares",Avoided deforestation,North Pikounda REDD+,MULTIPLE PROJECT PROPONENTS,DNV GL Climate Change Services,2013-08-26,DNV GL Climate Change Services,2013-08-26,Congo,"14. Agriculture, Forestry, Land Use",231110,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/12373,0,,,,,,,
VCS1055,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-ACM0003,Markit,Mixed,3006.90,1,40,674554.00,"-35.634447, -71.646395",1,,Fallow,1,,,,,,,-35.634447, -71.646395,"In this reforestation project, Mikro-Tek works with local land owners and provides an advanced propagation technology, mycorrhizal inoculation, to help restore and convert degraded grassland into productive forests in several regions of Chile.",Reforest degraded land,Reforesting Degraded Lands in Chile through the use of Mycorrhizal Inoculation,Mikro-Tek Inc.,,,,,Chile,"14. Agriculture, Forestry, Land Use",16864,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/12388,0,,,,,,,
VCS1060,Forest,RestForest_Improved-Plantation,Forest,FManagement,VM0003,Markit,Mixed,7118.83,1,39,849033.00,"41.056451, -75.494771",1,2012,Plantation,1,,,,,,,41.056451, -75.494771,"The project will extend the rotation length of 17,591 acres of managed mixed oak, confier and mixed hardwood plantation by approximately 70 years compared to Common Practice.",Change forest management,Bethlehem Authority Improved Forest Management Project,Bethlehem Authority,,,,,United States,"14. Agriculture, Forestry, Land Use",21770,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/12448,0,,,,,,,
